judul,tanggal,isi,kategori
Ini Alasan Fajar/Rian dan Leo/Bagas Mundur dari Korea Masters 2024,"Senin, 04 Nov 2024 11:50 WIB","Jakarta - Fajar Alfian/Muhammad Rian Ardianto dan Leo Rolly Carnando/Bagas Maulana mundur dari Korea Masters 2024. Pelatih ganda putra Aryono Miranat ungkap alasannya. Kepastian dua pasang ganda putra andalan Indonesia itu absen dilihat dari laman tournament software BWF terkait daftar atlet yang akan tampil sekaligus mundur. Semula ada empat wakil ganda putra Indonesia yang akan main di turnamen BWF Super 300 yang akan dimulai Selasa (5/11) hingga Minggu (11/11) di Iksan City, Korea Selatan. Yaitu Daniel Marthin/Muhammad Shohibul Fikri, Sabar Karyaman Gutama/Moh Reza Pahlevi Isfahani, Fajar Alfian/Rian Ardianto, dan Leo Rolly/Bagas Maulana. Belakangan, dua pasang nama terakhir yang disebutkan di atas diputuskan tak ikut serta. Fajar/Rian memutuskan mundur pada 26 Oktober, sementara Leo/Bagas menarik diri pada dua hari setelahnya. Aryono mengatakan pertimbangan Fajar/Rian membatalkan penampilannya di Korea karena poin Race to Finals Hangzhou dinilai sudah cukup. Fajar/Rian saat ini berada di peringkat keempat dengan 75.660 poin pada pekan ke-43 atau per tanggal 22 Oktober. Mereka naik dua tingkat dari pekan ke-42 berada di peringkat keenam. ""Iya Fajar/Rian sudah daftar untuk Korea tapi dicancel karena poin untuk ke World Tour Finals sudah cukup, jadi difokuskan ke Kumamoto Japan Masters dan China Masters Super 750 saja,"" kata Aryono kepada detikSport melalui pesan singkatnya. ""Sedangkan Bagas/Leo di-cancel karena sepulang dari pertandingan di Eropa, Bagas sakit demam sehingga di-cancel karena kurang persiapan untuk bertanding di Koreanya,"" ujarnya. (mcy/aff)",Olahraga
Di Tempat Ini Bisa Belajar Main Golf Sambil Nongkrong Santai,"Senin, 04 Nov 2024 10:56 WIB","Jakarta - Nongkrong sambil main golf akan jadi pengalaman baru yang bisa dirasakan kaum urban Jakarta. Topgolf Jakarta mengusung pengalaman unik yang mengkombinasikan antara hiburan dan olahraga serta dilengkapi teknologi canggih. Dibuka pada 27 Oktober 2024, Topgolf Jakarta meluncurkan campaign #SwingAja untuk membuat permainan golf lebih mudah dimainkan oleh semua kalangan. Melalui dukungan para influencers dan pop-up events, #SwingAja mengajak para pemain baru ataupun untuk orang yang belum pernah bermain golf untuk merasakan serunya pengalaman bermain golf tanpa tekanan dan dengan penuh kesenangan. ""Golf sering dianggap sebagai olahraga serius, namun di Topgolf Jakarta, kami ingin menunjukkan bahwa dengan #SwingAja, golf bisa dimainkan dengan santai dan menyenangkan bersama teman-teman, tanpa perlu khawatir soal keterampilan,"" ujar Director of Operations Topgolf Indonesia Francis Dehnhardt, Rabu (23/10/2024). Topgolf Jakarta dilengkapi dengan beragam game seperti Angry Birds, dan permainan seperti Block Party dan ""The Sure Thing"". The Sure Thing adalah stick golf yang dirancang khusus agar lebih mudah digunakan oleh semua pemain, dengan kepala stick besar dan sudut kemiringan 20 derajat yang memudahkan pemain untuk membuat pukulan sempurna. Dengan kombinasi fitur ini, memukul bola menjadi lebih mudah dan hampir pasti berhasil. Selain itu, Topgolf Jakarta siap menjadi tempat nongkrong seru yang dilengkapi dengan tiga restoran, empat bar, dan area hiburan. ""Baik Anda datang untuk bermain atau hanya bersantai, selalu ada sesuatu yang baru untuk dinikmati di Topgolf,"" kata Francis. ""Tujuan kami adalah memberikan pengalaman yang tak tertandingi, lebih dari sekadar permainan golf. Dengan teknologi canggih, makanan lezat, dan suasana yang seru, Topgolf Jakarta menawarkan pengalaman yang menyenangkan untuk semua orang, baik untuk bermain, makan, atau sekadar bersenang-senang,"" tambah Francis. Topgolf Jakarta menyediakan trainer golf bagi pengunjung yang baru pertama kali mencoba bermain golf. Menurut Francis, golf adalah olahraga yang dapat dinikmati oleh semua kalangan. ""Yang tidak kalah penting adalah dari sisi offering kita, fasilitas yang ada di Topgolf sendiri dari meeting room untuk corporate events, dari restoran-restoran yang tersedia di sini ada healthy food, comfort food. Dan tentu juga bisa Indonesian food baik itu seafood atau steakhouse semua ada di Topgolf,"" ujar Francis. Topgolf Jakarta juga menawarkan ruangan premium untuk acara korporat atau pertemuan VIP. Topgolf memiliki fasilitas mewah seperti Social Room yang dilengkapi dengan layar LED besar, Topgolf Jakarta ""Kami menciptakan ruang di mana bisnis dan hiburan dapat berpadu dengan sempurna,"" tambah CEO Topgolf Southeast Asia Development, Andrew Nathan. ""Hadirnya Topgolf di Jakarta memberikan peluang bagi penggemar golf di Indonesia untuk menjadi bagian dari komunitas global ini, di mana inovasi, keseruan, dan inklusivitas menjadi elemen utama,"" lanjut Andrew. (ega/ega)",Olahraga
MotoGP 2024: Marc Marquez Ingin Finis dengan Cara Terbaik,"Senin, 04 Nov 2024 07:10 WIB","Jakarta - Rider Gresini , Marc Marquez , finis kurang sip di main race MotoGP Malaysia 2024 . Baby Alien ingin menutup musim dengan cara terbaik. Di sirkuit Sepang, Malaysia, Minggu (3/11/2024), Marc Marquez finis di urutan ke-12. Dia sempat bersaing dengan Francesco Bagnaia dan Jorge Martin, tapi akhirnya terjatuh. Karena crash yang dialami, Marc Marquez sampai tercecer di urutan ke-17. Tapi, rider tim yang didukung Federal Oil itu bisa naik lima anak tangga untuk meraih poin di MotoGP Malaysia. Pada race sebelumnya, Marc Marquez sukses meraih podium kedua. Pada prosesnya, Bagnaia yang menjadi pemenang balapan. Podium dilengkapi Jorge Martin dan Enea Bastianini. MotoGP 2024 masih akan menyisakan balapan di Barcelona. Marc Marquez ingin menutup musim di posisi terbaik, apalagi musim depan dia akan pindah ke tim pabrikan Ducati. ""Di sirkuit yang secara historis rumit buat saya, saya akan bilang bahwa ini merupakan akhir pekan yang positif di mana kami kompetitif baik kemarin atau hari ini,"" kata Marc Marquez dalam rilis yang diterima detikSport. ""Ada hari-hari di saat anda tak tahu mengapa anda jatuh: hari ini saya merasa nyaman dan saya tahu saya bisa berjuang keras untuk posisi ketiga, keempat...Begitulah yang terjadi, masih ada satu balapan lagi dan kami ingin finis dengan cara terbaik,"" kata dia menambahkan. Marc Marquez berpeluang besar finis ketiga di klasemen MotoGP 2024. Kini, dia mengumpulkan 369 angka. Sementara Alex Marquez ada di posisi ke-10 dengan 155 poin. Keduanya diharapkan bisa finis terbaik. ""Menjadi kebanggaan bagi Federal Oil bahwa kedua pembalap Gresini Racing bisa mengamankan poin penting untuk menempatkan posisi terbaik di klasemen pembalap MotoGP musim 2024. Federal Oil juga optimis Marc mampu menyelesaikan musim di 3 besar klasemen, dan Alex di 10 besar klasemen pada balapan terakhir yang akan diadakan pada pertengahan November ini,"" Rommy Averdy dari Federal Oil. (cas/yna)",Olahraga
Hasil F1 GP Brasil: Verstappen Juara Usai Start dari Posisi 17,"Senin, 04 Nov 2024 01:33 WIB","Sao Paulo - Max Verstappen menjadi juara di Formula 1 GP Brasil 2024 . Sukses ini didapat setelah memulai balapan dari posisi ke-17. GP Brasil berlangsung di Sirkuit Interlagos dengan kondisi diguyur hujan. Keajaiban kemudian didapatkan Verstappen dalam balapan yang tuntas, Senin (4/11/2024) dini hari WIB. Verstappen menjadi juara dengan diikuti dua pembalap Alpine, Esteban Ocon dan Pierre Gasly. Lando Norris, yang memulai balapan dari posisi terdepan, harus puas finis keenam. Kondisi hujan deras yang tiba-tiba turun di lap ke-28 menjadi sebuah tantangan besar. Nico Hulkenberg sampai harus melintir sehingga memicu safety car. Beberapa pembalap memilih momen ini untuk mengganti ban basah atau ban intermediate baru. tu termasuk George Russell dan Norris yang sedang menempati posisi pertama dan kedua. Periode safety car lainnya terjadi pada putaran ke-40 ketika Carlos Sainz menabrak pembatas. Verstappen kemudian memimpin saat restart. Hal itu menjadi awal baik untuk Verstappen terus melebarkan jaraknya. Alhasil, gelar juara GP Brasil 2024 berhasil didapat Verstappen. (ran/raw)",Olahraga
"Lagi, Moreno Soeprapto Juara Balap Porsche di Mandalika","Senin, 04 Nov 2024 00:30 WIB","Lombok Tengah - Moreno Soeprapto kembali tampil di Porsche Sprint Challenge Indonesia 2024 . Lagi-lagi, pebalap senior itu jadi yang terbaik di ajang tersebut. Memperkuat tim Ananda Moreno Motorsport (AMM), Moreno turun lagi di Race 6 yang digelar di Pertamina Mandalika International Circuit, Lombok, NTB, Minggu (3/11/2024). Menggunakan Porsche 911 GT3 Cup, Moreno berhasil menjadi yang tercepat pada balapan berdurasi satu jam tersebut. Moreno mengalahkan Ahmad Aldio Oekon (Rocket Bali Racing) dan Hendrik JS yang berada di posisi kedua serta ketiga. Pada Race 5, Sabtu (2/11/2024) kemarin, Moreno finis kedua di belakang Aldio Oekon. Posisi ketiga diduduki Hendrik JS. Kemenangan ini disaksikan juga disaksikan Tinton Soeprapto dan Dewi Anggraeni lewat live streaming di kediamannya di Sentul, Bogor. Mereka tersenyum bahagia karena hasil itu jadi kado terindah ulang tahun perkawinan. Ini merupakan kemenangan kedua Moreno di ajang balap satu merek yang diselenggarakan promotor Supersport Motorsport milik Bagoes Hermanto itu. Moreno Soeprapto juara Seri 6 Porsche Sprint Challenge Indonesia di Sirkuit Mandalika, Lombok Tengah, NTB, Minggu (3/11/2024) (Foto: dok.Pribadi) Kemenangan pertama diraih Moreno pada Race 2 Porsche Sprint Challenge Indonesia 2024 pada 1 September lalu. Itu jadi balapan pertama Moreno setelah 15 tahun absen. ""Alhamdulillah, akhirnya bisa P1. Kemenangan ini saya persembahkan untuk happy wedding anniversary Pak Tinton dan Ibu Mince (keduanya adalah orang tua Moreno),"" ungkap Moreno yang merupakan anggota DPR RI Komisi XII itu dalam rilis kepada detikSport. Bagi Moreno, comeback-nya ini bukan sekadar mencari menang tapi juga ingin memajukan lagi olahraga otomotif yang membesarkan namanya itu. Sebab dia melihat potensi besar Indonesia berprestasi di ajang motorsport, terutama balap motor. ""Ada hal yang lebih penting, yakni sekaligus mempelajari industri balap termasuk bagaimana seperti sirkuit Mandalika, juga sirkuit Sentul Bogor, bisa menjadi sarana untuk melahirkan pembalap level dunia,"" ungkap Moreno. ""Jujur harus kita akui, potensi itu ada di balap motor. Aldi Satya Mahendra baru saja menjadi juara dunia WorldSSP300, lalu ada Veda Ega Pratama, dan beberapa yang lain. Kita berkejaran dengan waktu, karena usia emas pembalap motor relatif singkat,"" terang Moreno. Selain prestasi pembalap, Moreno juga memiliki tanggung jawab membangun industri balap, UMKM hingga Ekonomi Kreatif. ""Saya tahu, Pak Presiden Prabowo Subianto seorang tokoh yang visioner. Maka jika kita telah memiliki data yang komprehensif, terkait sirkuit Mandalika dan Sirkuit Sentul, tentu Pak Presiden akan sangat mensupport untuk pengembangan prestasi pembalap dan juga industri motorsportnya,"" kata Moreno yang merupakan politisi Partai Gerindra itu. ""Kami akan memanggil dan bertemu pihak-pihak terkait, dari Menkeu, Menteri ESDM hingga Menpora, guna membahas pengembangan dimaksud, termasuk menyampaikan klausul untuk renovasi sirkuit Sentul. Insyaallah, awal tahun depan sudah bisa dikerjakan,"" demikian dia. (mrp/ran)",Olahraga
One Pride MMA King Size New Championship 84: Ronald Kalahkan Sukma,"Minggu, 03 Nov 2024 23:15 WIB","Jakarta - Ajang One Pride MMA King Size New Championship 84 telah tuntas. Ronald Mastra berhasil mengalahkan Sukma Prawira, yang menjadi pembalasan tiga tahun lalu. Pertarungan berlangsung di Gelanggang Olahraga Gor C-Tra arena Bandung, Sabtu, (2/11/2024). Ronald mempertahankan sabuk di kelas Lightweight dengan mengalahkan dalam pertandingan ronde 1. ""Pertandingan Ronald Vs Sukma menjadi pertandingan best comeback terbaik One Pride selama 8 tahun, melihat dari pertandingan tadi membuktikan Ronald memiliki mental juara, mental survive, dan sabuk ini akan bertahan lama bersama Ronald"" kata Ketua Umum KOBI, Anindra Ardiansyah Bakrie, dalam keterangan persnya. Gugun Gusman vs Yacub Christ juga tersaji pada pertandingan Main Event. Gugun berhasil menjadi pemenang dalam pertarungan 5 ronde dan berhasil mencetak sejarah dengan mempertahankan sabuk abadi sebanyak dua kali. ""Revenge dari Yacub hampir terjadi saat lutut kiri Yacub menghantam pelipis dari Gugun,"" kata Max Metino selaku Match Maker One Pride. ""Pertarungan sangat sengit, jual beli pukulan tendangan striking dari yacub sangat efektif membuat Gugun cukup kewalahan, serangan yacub diredam Gugun dengan Clinch fighting, takedown dan groundfighting selama 5 ronde yang berbuah kemenangan poin mutlak untuk Gugun yang akhir mendapatkan sabuk abadi yang kedua. Sungguh perjuangan yang tidak mudah,"" sambungnya. (ran/pur)",Olahraga
Title Not Found,Date Not Found,Content Not Found,Olahraga
"Megawati Hangestri Menggila, Rebut MVP Laga Red Sparks vs Hi-Pass","Minggu, 03 Nov 2024 22:20 WIB","Gimcheon - Daejeon Jung Kwan Jang Red Sparks mengatasi Expressway Hi-Pass 3-0 di lanjutan Liga Voli Korea Selatan. Megawati Hangestri Pertiwi meraih gelar MVP di laga itu. Bermain di Gimcheon Gymnasium, Gimcheon, Korea Selatan, Minggu (3/11/2024), Red Sparks tampil solid sejak set pertama. Kemenangan 25-22, usai saling kejar-kejaran poin. Di set kedua, Red Sparks bisa menjaga dominasinya. Megawati juga menyumbang poin lewat smash kerasnya, dan membawa kemenangan 29-27. Pada gim penentuan, Red Sparks bisa menuntaskan pertandingan dengan sempurna. Kemenangan 25-21 membuat tim asuhan Ko Hee-jin mengemas kemenangan ketiganya dari empat laga yang berjalan. Di laga itu, Megawati keluar menjadi MVP. Opposite Indonesia itu meraih 23 poin. Persentase keberhasilan serangannya mencapai 56 persen, dan efisiensinya mencapai 41 persen. Raihan ini membuat Megawati Hangestri Pertiwi sudah mengumpulkan 83 poin sejak awal musim. Ia sementara masuk lima besar daftar top skorer di Liga Voli Putri Korea Selatan. (yna/aff)",Olahraga
Bagnaia Selesaikan Pekerjaan dengan Sip di Sepang,"Minggu, 03 Nov 2024 19:10 WIB","Jakarta - Rider Ducati, Francesco Bagnaia , menjaga mempertahankan gelar juara dunia MotoGP . Pecco menyelesaikan pekerjaan di MotoGP Malaysia dengan sip. Saat balapan di sirkuit Sepang, Malaysia, Minggu (3/11/2024), Bagnaia sukses memenangi main race. Dia melahap 19 lap dengan catatan waktu 38 menit 4,563 detik. Kemenangan ini menjadi penebusan untuk Bagnaia setelah gagal finis saat sprint race MotoGP Malaysia 2024. Kini, dia mengumpulkan 461 poin, berjarak 24 angka dari rider Pramac Ducati, Jorge Martin. Untuk meraih kemenangan ini, Pecco bertarung sengit dengan Martin di awal-awal lap. Tapi, Pecco sukses mengatasi tekanan Martin. Dengan hasil ini, Bagnaia wajib menang di sprint race dan main race seri terakhir MotoGP 2024. Sembari itu, Pecco juga mesti berharap MArtin tak bisa meraih hasil maksimal. ""Mengendalikan panas menjadi hal termudah hari ini. Jorge sangat agresif, dia ingin meninggalkan kami tapi kecepatan kami sangat tinggi,"" kata Bagnaia di Marca. ""Ini merupakan kemenangan ke-10 musim ini dan kami melakukan pekerjaan hebat, harus terus lebih baik lagi di hari Sabtu,"" kata dia menambahkan. Seri terakhir MotoGP 2024 semestinya menggelar MotoGP Valencia. Tapi, seri itu dibatalkan karena bencana banjir. Dorna memindah balapan, tapi tetap di Spanyol. Catalunya yang kemungkinan besar akan menggelar balapan. Simak Video Kejar-kejaran Sengit Bagnaia Vs Martin di MotoGP Malaysia [Gambas:Video 20detik] (cas/yna)",Olahraga
Video Kejar-kejaran Sengit Bagnaia Vs Martin di MotoGP Malaysia,"48,711 Views  |  Minggu, 03 Nov 2024 18:28 WIB",Francesco Bagnaia menunda pesta juara Jorge Martin yang sejatinya bisa disudahi di balapan ini. Pecco memberikan perlawanan sengit dengan begitu agresif di awal-awal balapan.,Olahraga
Jorge Martin Akan Habis-habisan di Seri Terakhir MotoGP 2024,"Minggu, 03 Nov 2024 18:25 WIB","Jakarta - Pesta Jorge Martin untuk menjadi juara dunia MotoGP 2024 tertunda. Kini, martinator akan habis-habisan di seri terakhir. Di MotoGP Malaysia 2024, Jorge Martin kalah dari rider Ducati, Francesco Bagnaia. Saat membalap di Sepang, Pecco menjadi pemenang setelah melahap 19 lap dengan catatan waktu 38 menit 4,563 detik. Martin harus puas finis di posisi kedua. Dia finis lebih lambat 3,141 detik dibandingkan dengan Bagnaia. Dengan hasil ini, Martin memang masih memuncaki klasemen MotoGP 2024 dengan raihan 485 poin. Bagnaia ada di posisi kedua dengan raihan 461 angka. Dengan komposisi itu, Martin masih bisa disalip Pecco di seri terakhir. Setelah MotoGP Valencia dibatalkan, seri terakhir tetap digelar di Spanyol. Catalunya menjadi kandidat kuatnya. Martin tinggal membutuhkan kemenangan di Sprint Race untuk mengunci gelar juara. ""Berkat Pecco, dia menjadikan ini menjadi lebih sulit. Saya ingin menang, tapi Pecco mempunyai strategi yang saya tahu dengan pasti,"" kata Martin di Marca. ""Dia sangat agresif dan saya juga demikian. Pada akhirnya, saya mencoba dan nyaris crash. Kami akan menuju balapan terakhir dan kami akan mencoba untuk mengerahkan segalanya,"" kata Martin menambahkan. (cas/yna)",Olahraga
Indonesia Rebut 4 Gelar di Indonesia Masters 2024,"Minggu, 03 Nov 2024 17:50 WIB","Jakarta - Indonesia sukses merebut empat gelar di Indonesia Masters II di Surabaya. Rahmat Hidayat/Yeremia Erich Yoche Yacob Rambitan yang terakhir mempersembahkannya. Dalam laga yang berlangsung di Jatim Expo, Surabaya, Minggu (3/11/2024) ganda putra ranking 51 dunia itu naik podium tertinggi seusai mengalahkan rekan satu negaranya, Raymond Indra/Patra Harapan Rindorindo. Mereka menang dua gim langsung atas Raymond/Patra dengan skor 23-21, 21-18 setelah bertanding dalam tempo waktu 33 menit. ""Pada laga ini kami agak nervous menghadapi rekan satu negara yang sudah mengetahui kelebihan dan kelemahan kami. Pada laga ini kami bisa keluar dari tekanan lawan dan meraih kemenangan,"" ujar Rahmat dalam rilis PBSI. ""Kami kesulitan meladeni permainan lawan karena sudah sering berlatih bersama di Pelatnas Cipayung. Jadi kami sudah mengetahui kelemahan dan kelebihan mereka untuk memastikan kemenangan di laga ini,"" Rahmat menambahkan. Hasil ini sekaligus membayar kekalahan mereka sebelumnya di Indonesia Masters II Super 100-2024 di Pekanbaru. Saat itu Rahmat/Yeremia harus puas dengan raihan runner up seusai menyerah di partai final dengan skor 19-21, 15-21 dari wakil Thailand, Chaloempon Charoenkitamorn/Worrapol Thongsa-Nga. ""Pasti senang rasanya karena kami kemarin di Pekanbaru gagal meraih gelar juara. Raihan gelar juara di turnamen ini menjadi batu loncatan kami untuk ke depannya bisa meraih hasil yang lebih baik lagi,"" ungkap Yeremia. Dengan hasil ini, tuan rumah mengoleksi empat gelar dari turnamen Indonesia Masters II Super 100-2024 di Surabaya. Selain Rahmat/Yeremia gelar juara wakil tuan rumah disumbangkan Alwi Farhan (tunggal putra), Ni Kadek Dhinda Amartya (tunggal putri), dan Amri Syahnawi/Nita Violina Marwah (ganda campuran). Adapun satu gelar tuan rumah di ajang BWF Super 100 lepas seusai Lanny Tria Mayasari/Siti Fadia Silva Ramadhanti menyerah di hadapan wakil Chinese Taipei, Hsieh Pei Shan/Hung En-Tzu dengan skor 19-21, 15-21. Berikut Hasil Lengkap Final Indonesia Masters II di Surabaya: Tunggal Putra: Alwi Farhan (Indonesia) vs Sholeh Aidil (Malaysia), 21-10, 21-9 Tunggal Putri: Ni Kadek Dhinda Amartya Pratiwi (Indonesia) vs Karupathevan Letshanaa (Malaysia), 21-19, 21-17 Ganda Putra: Rahmat Hidayat/Yeremia Erich Yoche Yacob Rambitan (Indonesia) vs Raymond Indra/Patra Harapan Rindorindo (Indonesia), 23-21, 21-18 Ganda Putri: Hsieh Pei Shan/Hung En-Tzu (Chinese Taipei) vs Lanny Tria Mayasari/Siti Fadia Silva Ramadhanti (Indonesia), 21-19, 21-15 Ganda Campuran: Amri Syahnawi/Nita Violina Marwah (Indonesia) vs Marwan Faza/Aisyah Salsabila Putri Pranata (Indonesia), 22-20, 21-13. (mcy/aff)",Olahraga
Sabar/Reza: Semoga Masih Ada Kans Tampil di World Tour Finals,"Minggu, 03 Nov 2024 17:21 WIB","Jakarta - Sabar Karyaman Gutama/Moh Reza Pahlevi Isfahani masih berharap bisa tampil di BWF World Tour Finals 2024. Sementara ini, mereka masih menempati peringkat sembilan. Sabar/Reza berada di posisi kesembilan dengan mengemas 63.090 poin. Mereka turun satu peringkat setelah masuk top 8 besar pekan lalu. Itu terjadi setelah mereka absen di beberapa turnamen Eropa. Turnamen terakhir keduanya ialah Macau Open, 24-29 September 2024. Sabar/Reza harus puas dengan posisi runner up usai kalah dari Chen Xu Jun/Liu Yi 18-21, 14-21. ""Kami masih ada tiga turnamen lagi. Malam ini, saya akan berangkat langsung ke Korea untuk mengejar World Tour. Ya semoga masih ada peluang dan mendapatkan hasil yang baik di tiga turnamen ini,"" kata Sabar usai tampil di turnamen BDMNTN-XL, di Istora GBK, pada Minggu (3/11/2024). Tiga turnamen yang dimaksud Sabar antara lain Korea Masters mulai 5-10 November, Kumamoto Japan Masters pada 12-17 November, dan China Masters pada 19-24 November 2024. ""Ini bakal menjadi World Tour Finals pertama kali (jika lolos). Tapi kami enjoy saja, enggak ada ekspektasi lebih, kami juga tak mau ekspetasi tinggi-tinggi cuma kami juga tak mau berkecil hati,"" kata Sabar. ""Kami mungkin lebih termotivasi untuk bisa mengejar poin world tournya tapi kami tetap enjoy,"" ujarnya. Pemain berperingkat 13 dunia itu mematok target minimal menembus tujuh besar untuk mengamankan posisi tampil di World Tour Finals 2024. BWF World Tour Finals akan berlangsung di China, 11-15 Desember 2024. Ajang ini hanya akan diikuti atlet- atlet top 8 di masing-masing dari lima sektor. (mcy/aff)",Olahraga
Evaluasi Lanny/Fadia untuk Japan Masters 2024,"Minggu, 03 Nov 2024 16:48 WIB","Jakarta - Lanny Tria Mayasari/Siti Fadia Silva Ramadhanti gagal melanjutkan tren positifnya di Indonesia Masters II. Mereka harus puas menjadi runner up dan bakal segera mengevaluasinya. Tampil di Jatim Expo, Surabaya, Minggu (3/11/2024), pasangan ranking 140 dunia itu harus mengakui keunggulan, wakil Taiwan Hsieh Pei Shan/Hung En-Tzu. Mereka kalah dengan skor 19-21, 15-21 usai bermain selama 38 menit. ""Kami banyak melakukan kesalahan sendiri saat gim pertama. Kami kehilangan fokus sehingga saat sudah unggul harus tertinggal karena kesalahan kami sendiri,"" ujar Fadia dalam rilis PBSI. ""Dari lawan tampaknya sudah mempelajari gaya bermain kami. Pada laga ini kami kurang tenang dalam bertahan dan bermain di bawah tekanan lawan,"" Lanny menambahkan. Pasangan Lanny/Fadia sejatinya tidak tampil dalam kondisi terbaik. Cuaca panas di Surabaya turut membuat keduanya tidak dalam kondisi prima. Hal tersebut sejatinya bukan alasan mengingat semua pemain merasakan hal yang sama dan banyak yang sudah terkuras fisiknya seusai bermain dua pekan beruntun di Kota Pahlawan. ""Dari kondisi fisik tidak terlalu berpengaruh bermain dua pekan beruntun. Kondisi cuaca di sini yang panas membuat kami tidak merasa dalam kondisi prima,"" ujar Fadia. Dengan hasil ini, Lanny/Fadia gagal melanjutkan tren positif dengan meraih gelar juara secara beruntun. Tercatat pekan lalu di turnamen yang sama, Lanny/Fadia berjaya Indonesia International Challenge 2024 di Surabaya. Evaluasi Menuju Kumamoto Japan Masters Setelah turnamen ini, Lanny/Fadia akan melakukan evaluasi lagi untuk bisa bermain lebih baik pada turnamen berikutnya. Mereka rencananya akan tampil di turnamen BWF Super 500 Kumamoto Japan Masters 2024. Ajang itu akan bergulir 12-17 November ini. Dengan persiapan yang hanya beberapa pekan, baik Lanny maupun Fadia siap memberikan yang terbaik di turnamen berikutnya. ""Setelah ini kami akan melakukan evaluasi lagi. Ada waktu sekitar satu pekan sebelum kami berangkat ke Jepang. Kami ingin melakukan evaluasi lagi apa yang menjadi kekurangan kami harus dikurangi, serta yang menjadi kelebihan kami harus ditambahkan,"" ujar Fadia. (mcy/aff)",Olahraga
"Klasemen MotoGP 2024: Jarak 24 Poin, Martin Vs Bagnaia","Minggu, 03 Nov 2024 15:39 WIB","Jakarta - MotoGP Malaysia 2024 tuntas, Francesco Bagnaia jadi juaranya. Di Klasemen MotoGP 2024, Bagnaia terus tempel Martin sampai seri terakhir nanti! Balapan utama MotoGP Malaysia 2024 digelar di Sirkuit Sepang, Minggu (3/11) siang WIB. Drama terjadi di awal akibat Jack Miller terjatuh dan menghantam motornya Quartararo, red flag berkibar. Setelah ditunda selama 19 menit, balapan dimulai lagi. Sempat ketat di posisi terdepan, akhirnya Francesco Bagnaia jadi juara disusul Jorge Martin dan Enea Bastianini. Marc Marquez sempat nyaman di posisi ketiga tapi crash di pertengahan. Francesco Bagnaia nyalakan asa untuk mempertahankan titel MotoGP di tahun 2024 ini. Bagnaia kini mendulang 461 poin, menempel Jorge Martin dengan 485 poin. Selisih 24 poin! Marc Marquez masih di peringkat ketiga Klasemen MotoGP 2024 dengan 369 poin. Enea Bastianini menempel ketat dengan 368 poin. Seri terakhir MotoGP 2024 sejatinya digelar di Valencia pada 17 November mendatang. Akan tetapi, bencana banjir bandang melanda kota tersebut sehingga race di sana dibatalkan. Pihak MotoGP masih mencari tempat baru untuk menggelar seri terakhir, direncanakan di Sirkuit Catalunya, Barcelona. Persaingan Martin dan Bagnaia dipastikan ketat sampai akhir! [Gambas:Twitter] Klasemen MotoGP 2024 Sementara 1 = Jorge Martin SPA Pramac Ducati (GP24) 485 2 = Francesco Bagnaia ITA Ducati Lenovo (GP24) 461 (-24) 3 = Marc Marquez SPA Gresini Ducati (GP23) 369 (-116) 4 = Enea Bastianini ITA Ducati Lenovo (GP24) 368 (-117) 5 ^1 Pedro Acosta SPA Red Bull GASGAS Tech3 (RC16)* 209 (-276) 6 ˅1 Brad Binder RSA Red Bull KTM (RC16) 206 (-279) 7 = Maverick Viñales SPA Aprilia Racing (RS-GP24) 189 (-296) 8 = Fabio di Giannantonio ITA VR46 Ducati (GP23) 165 (-320) 9 = Franco Morbidelli ITA Pramac Ducati (GP24) 161 (-324) 10 ^1 Alex Marquez SPA Gresini Ducati (GP23) 155 (-330) 11 ˅1 Aleix Espargaro SPA Aprilia Racing (RS-GP24) 146 (-339) 12 = Marco Bezzecchi ITA VR46 Ducati (GP23) 144 (-341) 13 = Fabio Quartararo FRA Monster Yamaha (YZR-M1) 108 (-377) 14 = Jack Miller AUS Red Bull KTM (RC16) 84 (-401) 15 = Miguel Oliveira POR Trackhouse Aprilia (RS-GP24) 71 (-414) 16 = Raul Fernandez SPA Trackhouse Aprilia (RS-GP24) 66 (-419) 17 = Johann Zarco FRA LCR Honda (RC213V) 53 (-432) 18 ^1 Alex Rins SPA Monster Yamaha (YZR-M1) 31 (-454) 19 ˅1 Takaaki Nakagami JPN LCR Honda (RC213V) 31 (-454) 20 ^1 Augusto Fernandez SPA Red Bull GASGAS Tech3 (RC16) 27 (-458) 21 ˅1 Joan Mir SPA Repsol Honda (RC213V) 21 (-464) 22 = Luca Marini ITA Repsol Honda (RC213V) 14 (-471) 23 = Pol Espargaro SPA Red Bull KTM (RC16) 12 (-473) 24 = Daniel Pedrosa SPA Red Bull KTM (RC16) 7 (-478) 25 = Stefan Bradl GER HRC Test Team (RC213V) 2 (-483) Simak Video Kejar-kejaran Sengit Bagnaia Vs Martin di MotoGP Malaysia [Gambas:Video 20detik] (aff/cas)",Olahraga
